,GHM,acte_classant,duree_mediane
146,11C11,JCGE002,1.0
147,02C02,BGDA001,1.0
148,06C16,HFFA003,22.0
149,13C03,JKFA007,3.0
150,11C03,FCFA019,20.0
151,03C17,HAFA023,1.0
152,09C06,QEFA011,1.0
153,02C08,BAMA013,1.0
154,04C02,GGPA002,7.5
155,10C10,QBFA010,2.5
156,06C03,HHQE005,6.0
157,14C08,JQGA002,5.0
158,03C07,GBFA008,1.0
159,06K02,HHSE002,1.0
160,08C49,NBCA006,7.0
161,13C18,JKFC004,2.0
162,09C09,HAFA008,1.0
163,08C35,MBCA001,2.0
164,03C24,HCFA004,1.0
165,06C25,LMMC020,1.5
166,08C32,NCCB006,2.5
167,08C32,NFFC003,1.0
168,11C13,JCLE002,2.0
169,12K02,JEGE001,1.0
170,03K02,HBGD080,1.0
171,03C26,GDFA016,14.0
172,03C17,HBGD102,1.0
173,11C13,JDNE001,1.0
174,13C14,HPFC007,4.0
175,06C04,HGFA003,6.0
176,02C02,BGMA002,1.0
177,10C13,HGCA009,8.5
178,11C10,JELA001,4.0
179,09C06,QEMA003,1.0
180,02C08,BCFA003,1.0
181,02C09,BDMA008,2.0
182,05C22,DEKA001,1.0
183,09C10,LCFA011,1.5
184,05C22,DELF017,5.0
185,06C19,EGED001,1.0
186,11C03,JCEA001,8.0
187,06C04,HGFA007,7.5
188,03C16,HEME002,1.0
189,08C32,NCCA012,1.0
190,11C13,JENE001,2.0
191,03C10,FAFA015,1.0
192,07K02,HMGE001,1.0
193,11C13,JCFE001,1.0
194,13C07,JJFA010,2.0
195,13C09,ZCQC001,1.0
196,10C05,KCGA001,1.0
197,06K02,HGQJ002,1.0
198,09C10,HAFA020,1.0
199,02C09,BELB001,2.5
200,13C03,JKFA018,3.0
201,08C61,NFKA004,16.0
202,08C34,NFMC003,1.0
203,11C02,JAFA029,5.5
204,02C08,BJMA002,1.0
205,02C05,BFGA008,1.0
206,03C07,LAFA014,1.0
207,10C05,KDFA002,1.0
208,08C39,MCPA013,10.0
209,08C53,NFMA002,1.0
210,11C02,JDFA011,7.5
211,07C09,HNFA013,16.0
212,09C03,QZEA031,1.0
213,11K03,JEFE001,1.0
214,02C11,BEFA008,1.0
215,08C25,MEKA008,4.0
216,07C09,HMGA001,9.0
217,08C25,MEKA005,3.0
218,08C32,NCCA015,2.0
219,08C42,NJEA012,1.0
220,09C04,QEMA006,6.0
221,02C08,BAFA011,1.0
222,07C09,HLFA020,9.5
223,07K02,HMQJ002,1.0
224,03C26,GDFA006,5.0
225,11C02,JFFA003,26.0
226,08C37,NDCA002,1.0
227,09C10,ZCQA001,4.0
228,09C06,QEDA002,1.0
229,14C05,JNJD001,2.0
230,03K02,HBGD190,1.0
231,09C08,QBFA007,1.0
232,06C04,HHQE003,29.0
233,12C08,JHPA001,1.0
234,12C12,JGFA005,7.0
235,11C02,FCFC001,2.0
236,13C04,JLSD001,3.0
237,07C09,HNFA007,14.0
238,03C17,LBFA015,1.0
239,11C02,JCFA010,9.5
240,09C09,LAMA009,1.0
241,08C35,MJEA010,3.0
242,02C08,BAMA019,1.0
243,10C12,KCFA008,1.0
244,08C24,NFPA002,8.0
245,03K02,HBGD193,1.0
246,06C04,HHFA004,11.5
247,11C13,JCAE001,2.0
248,09C12,LMFA001,1.0
249,11C11,JANE002,1.0
250,08C37,NHMA002,1.0
251,12C03,JHFA016,4.0
252,03C07,LAFA017,1.0
253,11C03,JBFC001,4.0
254,05K06,DGPF002,2.0
255,05K14,EBLA003,1.0
256,07C12,HMFA003,3.0
257,08C58,MEMC005,1.0
258,06C04,HGMA005,7.0
259,08C49,NBEP001,12.0
260,09C09,HAMA023,4.0
261,08C42,NJFA008,1.0
262,08C42,NJPA018,1.0
263,03C17,HAMA018,7.0
264,08C24,NFKA008,5.0
265,02C10,BGLB001,3.0
266,08C13,NBFA001,2.0
267,03C13,HDFA022,1.0
268,02C08,BAFA015,1.0
269,03C11,FAFA014,1.0
270,09C10,QZFA024,7.0
271,06C04,HHFA026,15.5
272,08C61,NFFA005,14.0
273,03C20,CBMA006,2.0
274,03C21,CAMA008,1.0
275,13C08,JMFA001,1.0
276,03C24,HCGE188,1.0
277,06K02,HHFE002,1.0
278,09C09,QBFA008,2.0
279,13C20,JKND003,1.0
280,03C25,HAFA026,19.0
281,13K02,JKFE002,1.0
282,08C22,NEKA006,8.0
283,02C08,BAMA008,1.0
284,03C07,GBFA007,2.0
285,05K06,DGLF001,3.5
286,13K02,JKFE001,1.0
287,13K02,JKNE001,1.0
288,10C03,KEFA002,14.0
289,13C08,JMFA003,1.0
290,21C05,HAMA026,1.0
291,13C05,JJFA005,7.0
